sepal_length,sepal_width,petal_length,petal_width,species
5,4,1,0,Iris-setosa
5,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
5,3,2,0,Iris-setosa
5,4,1,0,Iris-setosa
5,4,2,0,Iris-setosa
5,3,1,0,Iris-setosa
5,3,2,0,Iris-setosa
4,3,1,0,Iris-setosa
5,3,2,0,Iris-setosa
5,4,2,0,Iris-setosa
5,3,2,0,Iris-setosa
5,3,1,0,Iris-setosa
4,3,1,0,Iris-setosa
6,4,1,0,Iris-setosa
6,4,2,0,Iris-setosa
5,4,1,0,Iris-setosa
5,4,1,0,Iris-setosa
6,4,2,0,Iris-setosa
5,4,2,0,Iris-setosa
5,3,2,0,Iris-setosa
5,4,2,0,Iris-setosa
5,4,1,0,Iris-setosa
5,3,2,0,Iris-setosa
5,3,2,0,Iris-setosa
5,3,2,0,Iris-setosa
5,3,2,0,Iris-setosa
5,4,2,0,Iris-setosa
5,3,1,0,Iris-setosa
5,3,2,0,Iris-setosa
5,3,2,0,Iris-setosa
5,3,2,0,Iris-setosa
5,4,2,0,Iris-setosa
6,4,1,0,Iris-setosa
5,3,2,0,Iris-setosa
5,3,1,0,Iris-setosa
6,4,1,0,Iris-setosa
5,3,2,0,Iris-setosa
4,3,1,0,Iris-setosa
5,3,2,0,Iris-setosa
5,4,1,0,Iris-setosa
4,2,1,0,Iris-setosa
4,3,1,0,Iris-setosa
5,4,2,1,Iris-setosa
5,4,2,0,Iris-setosa
5,3,1,0,Iris-setosa
5,4,2,0,Iris-setosa
5,3,1,0,Iris-setosa
5,4,2,0,Iris-setosa
5,3,1,0,Iris-setosa
7,3,5,1,Iris-versicolor
6,3,4,2,Iris-versicolor
7,3,5,2,Iris-versicolor
6,2,4,1,Iris-versicolor
6,3,5,2,Iris-versicolor
6,3,4,1,Iris-versicolor
6,3,5,2,Iris-versicolor
5,2,3,1,Iris-versicolor
7,3,5,1,Iris-versicolor
5,3,4,1,Iris-versicolor
5,2,4,1,Iris-versicolor
6,3,4,2,Iris-versicolor
6,2,4,1,Iris-versicolor
6,3,5,1,Iris-versicolor
6,3,4,1,Iris-versicolor
7,3,4,1,Iris-versicolor
6,3,4,2,Iris-versicolor
6,3,4,1,Iris-versicolor
6,2,4,2,Iris-versicolor
6,2,4,1,Iris-versicolor
6,3,5,2,Iris-versicolor
6,3,4,1,Iris-versicolor
6,2,5,2,Iris-versicolor
6,3,5,1,Iris-versicolor
6,3,4,1,Iris-versicolor
7,3,4,1,Iris-versicolor
7,3,5,1,Iris-versicolor
7,3,5,2,Iris-versicolor
6,3,4,2,Iris-versicolor
6,3,4,1,Iris-versicolor
6,2,4,1,Iris-versicolor
6,2,4,1,Iris-versicolor
6,3,4,1,Iris-versicolor
6,3,5,2,Iris-versicolor
5,3,4,2,Iris-versicolor
6,3,4,2,Iris-versicolor
7,3,5,2,Iris-versicolor
6,2,4,1,Iris-versicolor
6,3,4,1,Iris-versicolor
6,2,4,1,Iris-versicolor
6,3,4,1,Iris-versicolor
6,3,5,1,Iris-versicolor
6,3,4,1,Iris-versicolor
5,2,3,1,Iris-versicolor
6,3,4,1,Iris-versicolor
6,3,4,1,Iris-versicolor
6,3,4,1,Iris-versicolor
6,3,4,1,Iris-versicolor
5,2,3,1,Iris-versicolor
6,3,4,1,Iris-versicolor
6,3,6,2,Iris-virginica
6,3,5,2,Iris-virginica
7,3,6,2,Iris-virginica
6,3,6,2,Iris-virginica
6,3,6,2,Iris-virginica
8,3,7,2,Iris-virginica
5,2,4,2,Iris-virginica
7,3,6,2,Iris-virginica
7,2,6,2,Iris-virginica
7,4,6,2,Iris-virginica
6,3,5,2,Iris-virginica
6,3,5,2,Iris-virginica
7,3,6,2,Iris-virginica
6,2,5,2,Iris-virginica
6,3,5,2,Iris-virginica
6,3,5,2,Iris-virginica
6,3,6,2,Iris-virginica
8,4,7,2,Iris-virginica
8,3,7,2,Iris-virginica
6,2,5,2,Iris-virginica
7,3,6,2,Iris-virginica
6,3,5,2,Iris-virginica
8,3,7,2,Iris-virginica
6,3,5,2,Iris-virginica
7,3,6,2,Iris-virginica
7,3,6,2,Iris-virginica
6,3,5,2,Iris-virginica
6,3,5,2,Iris-virginica
6,3,6,2,Iris-virginica
7,3,6,2,Iris-virginica
7,3,6,2,Iris-virginica
8,4,6,2,Iris-virginica
6,3,6,2,Iris-virginica
6,3,5,2,Iris-virginica
6,3,6,1,Iris-virginica
8,3,6,2,Iris-virginica
6,3,6,2,Iris-virginica
6,3,6,2,Iris-virginica
6,3,5,2,Iris-virginica
7,3,5,2,Iris-virginica
7,3,6,2,Iris-virginica
7,3,5,2,Iris-virginica
6,3,5,2,Iris-virginica
7,3,6,2,Iris-virginica
7,3,6,2,Iris-virginica
7,3,5,2,Iris-virginica
6,2,5,2,Iris-virginica
6,3,5,2,Iris-virginica
6,3,5,2,Iris-virginica
6,3,5,2,Iris-virginica
